Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
before3,spark_parent_survey,Timing,checkbox,What do you remember happening in the 3 days BEFORE onset? Check all that apply.,"1, Fever | 2, Tylenol or acetaminophen | 3, Illness | 4, Pediatrician/well-child visit WITHOUT any shots | 5, Pediatrician/well-child visit WITH shots | 6, Ear infection | 7, Vaccination (any setting) | 8, Dentist visit | 9, Toxic environmental exposure (mold, chemical...) | 10, New prescription drug (e.g., antibiotic) | 11, Your child's birthday | 12, Your birthday | 13, New Year's Day | 14, Other (specify in Notes) | 15, None of the above | 16, Too long ago, don't remember",,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
after14,spark_parent_survey,,checkbox,"In the 14 days AFTER onset, which changes did you observe? Check all that apply.","1, High-pitched screaming | 2, Sleepless nights | 3, LOST existing behavior(s) (eye contact, social interaction...) | 4, LOST existing skill(s) (words, motor skills...) | 5, DEVELOPED new repetitive behaviors (head banging, toe walking, arching...) | 6, Change in sensitivities (light, sound, pain, touch, being held) | 7, Extreme fussiness | 8, New obsessions | 9, Other (specify in Notes)",,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
visit_interval,spark_parent_survey,,radio,"How many days BEFORE onset was your child's most recent doctor visit (well-child or sick visit)? Choose the closest answer, even if unsure of the exact interval.","1, Don't remember | 2, No visit within 120 days before | 3, <1 day (<24 h) | 4, 2 days (24-48 h) | 5, 3 days (49-72 h) | 6, 4 days | 7, 5 days | 8, 6 days | 9, 7 days | 10, 8-13 days | 11, 14-29 days | 12, 30-59 days | 13, 60-83 days | 14, 84-97 days | 15, 98-120 days",,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
visit_confidence,spark_parent_survey,,radio,How certain are you of that interval?,"1, Absolutely certain | 2, Within 1 day | 3, Within 2 days | 4, Within 3 days | 5, Within 4 days to a week | 6, Could be off by a week or more",,,,,,([change_type] = '1' or [change_type] = '2') and [visit_interval] > 2,y,,,,,
visit_shots,spark_parent_survey,,radio,How many vaccine injections were given at that visit?,"1, 0 (no shots) | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 or more | 7, Don't remember",,,,,,([change_type] = '1' or [change_type] = '2') and [visit_interval] > 2,y,,,,,
vax_prior_interval,spark_parent_survey,,radio,"Was there an earlier visit WITH shots within 120 days before onset? If so, how many days before onset?","1, Don't remember | 2, No visit with shots within 120 days | 3, <1 day (<24 h) | 4, 2 days (24-48 h) | 5, 3 days (49-72 h) | 6, 4 days | 7, 5 days | 8, 6 days | 9, 7 days | 10, 8-13 days | 11, 14-29 days | 12, 30-59 days | 13, 60-83 days | 14, 84-97 days | 15, 98-120 days",,,,,,([change_type] = '1' or [change_type] = '2') and [visit_shots] = '1',y,,,,,
documentation,spark_parent_survey,,radio,"If we asked you for contemporaneous documentation of the onset timing (email, text, video, photo, social-media post, diary note, calendar entry, doctor call), could you provide it?","1, Yes, 100% certain | 2, Yes, 80%+ certain | 3, Maybe | 4, Unlikely | 5, Highly unlikely",,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
record_upload_ok,spark_parent_survey,,radio,Would you be willing to share your child's official immunization record (state registry or pediatrician) with the research team in a follow-up?,"1, Yes | 2, Maybe | 3, No",,,,,,[change_type] = '1' or [change_type] = '2',y,,,,,
age_concern_months,spark_parent_survey,When you first became concerned,text,Your child's age in months when you first became concerned about their development,,,integer,0,72,,[change_type] = '3' or [change_type] = '4',y,,,,,
concern_date,spark_parent_survey,,text,"If you remember the approximate calendar date you first became concerned, enter it. Otherwise leave blank.",,,date_mdy,,,,[change_type] = '3' or [change_type] = '4',,,,,,
concern_dow,spark_parent_survey,,radio,"Do you remember the day of the week, or whether it was a weekday or weekend?","1, Don't remember | 2, Monday | 3, Tuesday | 4, Wednesday | 5, Thursday | 6, Friday | 7, Saturday | 8, Sunday | 9, It was a weekday | 10, It was a weekend",,,,,,[change_type] = '3' or [change_type] = '4',y,,,,,
sequence_c,spark_parent_survey,,notes,Briefly describe what you noticed and what was going on in your child's life around that time.,,,,,,,[change_type] = '3' or [change_type] = '4',y,,,,,
before3_c,spark_parent_survey,,checkbox,What do you remember happening in the 3 days BEFORE you first became concerned? Check all that apply.,"1, Fever | 2, Tylenol or acetaminophen | 3, Illness | 4, Pediatrician/well-child visit WITHOUT any shots | 5, Pediatrician/well-child visit WITH shots | 6, Ear infection | 7, Vaccination (any setting) | 8, Dentist visit | 9, Toxic environmental exposure (mold, chemical...) | 10, New prescription drug (e.g., antibiotic) | 11, Your child's birthday | 12, Your birthday | 13, New Year's Day | 14, Other (specify in Notes) | 15, None of the above | 16, Too long ago, don't remember",,,,,,[change_type] = '3' or [change_type] = '4',y,,,,,
visit_interval_c,spark_parent_survey,,radio,How many days BEFORE you first became concerned was your child's most recent doctor visit? Choose the closest answer.,"1, Don't remember | 2, No visit within 120 days before | 3, <1 day (<24 h) | 4, 2 days (24-48 h) | 5, 3 days (49-72 h) | 6, 4 days | 7, 5 days | 8, 6 days | 9, 7 days | 10, 8-13 days | 11, 14-29 days | 12, 30-59 days | 13, 60-83 days | 14, 84-97 days | 15, 98-120 days",,,,,,[change_type] = '3' or [change_type] = '4',y,,,,,
visit_confidence_c,spark_parent_survey,,radio,How certain are you of that interval?,"1, Absolutely certain | 2, Within 1 day | 3, Within 2 days | 4, Within 3 days | 5, Within 4 days to a week | 6, Could be off by a week or more",,,,,,([change_type] = '3' or [change_type] = '4') and [visit_interval_c] > 2,y,,,,,
visit_shots_c,spark_parent_survey,,radio,How many vaccine injections were given at that visit?,"1, 0 (no shots) | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 or more | 7, Don't remember",,,,,,([change_type] = '3' or [change_type] = '4') and [visit_interval_c] > 2,y,,,,,
vax_prior_interval_c,spark_parent_survey,,radio,"Was there an earlier visit WITH shots within 120 days before you first became concerned? If so, how many days before?","1, Don't remember | 2, No visit with shots within 120 days | 3, <1 day (<24 h) | 4, 2 days (24-48 h) | 5, 3 days (49-72 h) | 6, 4 days | 7, 5 days | 8, 6 days | 9, 7 days | 10, 8-13 days | 11, 14-29 days | 12, 30-59 days | 13, 60-83 days | 14, 84-97 days | 15, 98-120 days",,,,,,([change_type] = '3' or [change_type] = '4') and [visit_shots_c] = '1',y,,,,,
cause,spark_parent_survey,Your view,notes,"What do you think might have triggered the change, and why? Do you think it was a random event with no specific trigger?",,,,,,,,,,,,,
attribution,spark_parent_survey,,checkbox,Which of these do you think contributed? Check all that apply.,"1, Genetics / family history | 2, Prematurity or birth complications | 3, Something during pregnancy | 4, An illness or infection | 5, A vaccine | 6, A medication | 7, Something in the environment | 8, Nothing in particular - random | 9, Don't know | 10, Other",,,,,,,y,,,,,
hypothesis_exposure,spark_parent_survey,,radio,When did you first hear the idea that vaccines might be connected to autism?,"1, Before my child was born | 2, Before I noticed the change | 3, Around the time I noticed it | 4, After the diagnosis | 5, Never heard it | 6, Not sure",,,,,,,y,,,,,
notes,spark_parent_survey,Finish,notes,"Anything else we should know, or comments on unclear questions or missing options?",,,,,,,,,,,,,
recontact_ok,spark_parent_survey,,radio,May the research team contact you (through SPARK) about a follow-up?,"1, Yes | 2, No",,,,,,,y,,,,,
share_public_ok,spark_parent_survey,,radio,"May a coarsened, de-identified version of your answers (no free text, no calendar dates) be included in a public research file?","1, Yes | 2, No",,,,,,,y,,,,,
